5	5	5	24	18.03	5.494	0.5567	24.08
3	7	5	16	14.99	4.85	0.4545	20.29
2	3	3	24	3.744	1.028	0.1032	4.875
7	5	5	16	20.3	5.931	0.6054	26.84
7	7	9	16	63.3	22.26	2.067	87.62
2	7	5	16	12.01	4.31	0.395	16.71
5	7	7	64	63.52	21.2	2.003	86.72
3	5	3	64	13.14	3.802	0.3582	17.3
3	3	9	16	16.15	6.699	0.5369	23.38
3	2	9	32	14.4	6.392	0.4528	21.25
3	3	5	24	7.957	2.436	0.2292	10.62
3	2	7	32	10.05	3.573	0.2886	13.91
2	5	7	16	14.04	5.552	0.4923	20.09
5	2	7	16	10.87	3.569	0.3212	14.76
7	3	7	16	20.02	6.165	0.5796	26.76
3	5	5	16	10.96	3.627	0.3265	14.91
5	7	3	64	28.33	7.928	0.8289	37.09
3	2	3	16	2.972	0.8179	0.08172	3.871
3	2	3	24	3.36	0.9283	0.09238	4.381
5	3	3	64	12.59	3.327	0.3474	16.27
5	3	5	64	19.28	5.8	0.548	25.63
2	7	7	32	24.07	9.73	0.8528	34.65
3	2	5	16	5.321	1.707	0.148	7.176
5	2	5	32	9.368	2.787	0.2628	12.42
3	2	7	16	7.827	2.919	0.2276	10.97
7	2	9	32	25.8	8.762	0.7637	35.32
3	7	9	32	42.83	16.81	1.437	61.08
3	7	7	24	27.47	10.1	0.8961	38.47
7	3	9	24	32.48	10.55	1.032	44.07
5	5	5	64	30.46	9.001	0.9044	40.37
2	3	3	32	4.24	1.144	0.1164	5.501
7	2	7	64	27.7	9.117	0.7934	37.61
5	2	7	24	12.55	4.174	0.3701	17.09
7	7	3	64	38.2	10.22	1.063	49.48
2	2	5	24	4.831	1.581	0.1364	6.548
7	3	9	32	36.6	11.96	1.154	49.71
5	3	9	24	25.21	8.885	0.8444	34.94
2	5	3	64	9.844	2.887	0.2773	13.01
2	7	5	32	14.74	4.756	0.4828	19.98
2	7	7	24	22.91	8.868	0.7987	32.58
3	3	5	32	8.895	2.723	0.257	11.88
5	7	3	32	18.73	5.165	0.5478	24.45
5	7	7	24	39.31	13.38	1.291	53.98
7	2	3	24	6.504	1.682	0.1782	8.364
5	2	7	32	14.24	4.715	0.4158	19.37
5	2	7	64	21.01	7.049	0.6062	28.67
7	7	7	32	58.89	18.67	1.833	79.39
2	7	3	24	8.521	2.523	0.2599	11.3
3	3	9	64	27.59	11.05	0.8801	39.52
3	5	3	24	8.064	2.239	0.2229	10.53
5	2	3	16	4.371	1.135	0.1173	5.623
3	7	9	64	59.71	24.83	1.935	86.47
5	7	5	24	25	7.439	0.7528	33.19
2	2	9	32	11.6	5.365	0.3824	17.35
2	5	5	24	9.744	3.299	0.298	13.34
2	3	9	32	16.19	7.278	0.5664	24.04
3	5	5	32	13.91	4.463	0.4032	18.78
3	3	9	32	20.15	8.412	0.6517	29.21
5	5	3	32	13.38	3.659	0.3908	17.43
7	2	5	32	12.04	3.414	0.337	15.79
5	5	5	32	20.23	6.114	0.5976	26.94
3	7	3	32	12.51	3.528	0.3455	16.38
5	7	9	64	89.44	34.91	2.874	127.2
2	3	7	64	15.02	5.637	0.4628	21.12
