5	3	3	16	13074.592
5	2	7	16	23679.23
7	2	7	64	59272.693
2	2	7	64	24585.574
7	2	9	64	82031.998
2	3	9	24	32193.529
5	3	5	32	28139.152
7	5	9	24	113813.809
5	2	5	24	17294.962
2	3	3	16	6873.779
2	7	7	64	73224.875
5	2	5	32	19737.043
5	5	5	32	45282.586
7	7	9	64	262075.363
5	7	9	24	125311.561
2	5	9	24	51674.087
2	3	3	32	8862.336
3	5	5	24	27495.644
3	3	9	16	35466.455
5	5	9	24	89911.08
2	7	5	16	27345.704
3	3	5	64	28014.084
7	5	7	64	134027.309
2	7	7	24	49693.291
3	5	9	32	71011.584
2	2	9	24	23042.603
5	5	7	16	55137.172
5	2	7	32	31038.638
7	7	7	24	112819.442
5	5	5	16	34494.491
5	3	7	32	44276.224
3	2	5	64	19955.074
7	7	7	64	188930.045
2	7	5	32	33708.982
2	3	9	16	28957.118
7	5	7	24	81091.962
7	3	9	32	80213.666
7	2	3	24	13249.757
5	2	9	16	33941.3
2	3	9	64	48093.52
7	3	9	64	115133.458
5	3	9	64	90232.657
5	5	3	16	21834.616
5	5	9	16	79112.048
7	7	5	32	82389.208
2	2	3	64	8832.172
7	7	5	16	61976.905
7	3	9	24	70371.958
2	3	3	24	7845.39
3	3	3	64	17471.891
5	5	5	24	39975.415
3	2	9	64	45233.546
2	2	3	24	5265.54
5	2	7	64	45466.218
2	7	3	64	29635.729
7	7	3	32	54790.722
3	5	9	24	64379.473
5	2	5	64	29518.6
5	2	3	24	10213.031
2	3	5	16	11882.657
2	5	7	64	52739.366
5	3	3	24	15321.575
7	5	9	16	100570.932
5	3	9	24	55585.051
