5	5	5	24	79547.04
3	7	5	16	67860.72
2	3	3	24	15219
7	5	5	16	88073.64
7	7	9	16	286650
2	7	5	16	55388.16
5	7	7	64	284828.4
3	5	3	64	55417.68
3	3	9	16	73872.72
3	2	9	32	63460.8
3	3	5	24	34050.6
3	2	7	32	42571.44
2	5	7	16	65566.08
5	2	7	16	46652.76
7	3	7	16	85091.4
3	5	5	16	48109.32
5	7	3	64	121438.8
3	2	3	16	11639.16
3	2	3	24	13487.4
5	3	3	64	51885.72
5	3	5	64	81592.2
2	7	7	32	113325.84
3	2	5	16	20750.04
5	2	5	32	38851.56
3	2	7	16	33172.2
7	2	9	32	110138.04
3	7	9	32	202274.28
3	7	7	24	127116
7	3	9	24	143705.52
5	5	5	64	131139.36
2	3	3	32	17180.64
7	2	7	64	116619.84
5	2	7	24	53903.88
7	7	3	64	160881.84
2	2	5	24	18637.2
7	3	9	32	161960.04
5	3	9	24	115164.72
2	5	3	64	40625.64
2	7	5	32	67983.12
2	7	7	24	104083.92
3	3	5	32	38271.6
5	7	3	32	80677.08
5	7	7	24	179713.8
7	2	3	24	26280.36
5	2	7	32	60937.2
5	2	7	64	89613.72
7	7	7	32	258647.4
2	7	3	24	37180.8
3	3	9	64	126177.48
3	5	3	24	33592.68
5	2	3	16	17036.64
3	7	9	64	275787.72
5	7	5	24	109942.92
2	2	9	32	51612.84
2	5	5	24	42688.08
2	3	9	32	73358.28
3	5	5	32	60894
3	3	9	32	90923.76
5	5	3	32	57253.32
7	2	5	32	49939.92
5	5	5	32	88621.92
3	7	3	32	53890.92
5	7	9	64	404634.96
2	3	7	64	66272.76
