5	3	3	16	4.465	1.357	0.7673	6.59
5	2	7	16	8.009	2.9	1.413	12.32
7	2	7	64	21.85	7.56	3.641	33.05
2	2	7	64	8.308	3.812	1.505	13.63
7	2	9	64	29.22	12.12	5.025	46.36
2	3	9	24	10.26	4.884	1.952	17.09
5	3	5	32	9.747	2.962	1.67	14.38
7	5	9	24	40.7	12.58	6.704	59.99
5	2	5	24	6.103	1.929	1.038	9.07
2	3	3	16	2.286	0.7276	0.4135	3.427
2	7	7	64	23.58	9.207	4.563	37.35
5	2	5	32	6.985	2.177	1.186	10.35
5	5	5	32	16.27	4.9	2.754	23.92
7	7	9	64	89.76	32.79	16.16	138.7
5	7	9	24	41.1	14.65	7.493	63.25
2	5	9	24	15.82	7.777	3.206	26.8
2	3	3	32	3.02	0.9488	0.5372	4.506
3	5	5	24	9.157	3.496	1.579	14.23
3	3	9	16	11.78	5.036	2.069	18.88
5	5	9	24	29.76	10.89	5.401	46.06
2	7	5	16	8.489	2.965	1.637	13.09
3	3	5	64	9.964	3.703	1.645	15.31
7	5	7	64	47.19	14.88	7.984	70.05
2	7	7	24	15.01	5.756	3.064	23.83
3	5	9	32	22.87	9.645	4.241	36.76
2	2	9	24	7.551	3.987	1.407	12.95
5	5	7	16	18.28	6.033	3.25	27.56
5	2	7	32	10.75	3.927	1.878	16.56
7	7	7	24	39.42	11.2	6.62	57.24
5	5	5	16	11.66	3.716	2.025	17.4
5	3	7	32	15.02	5.266	2.639	22.92
3	2	5	64	7.036	2.412	1.195	10.64
7	7	7	64	66.08	20.32	11.68	98.08
2	7	5	32	10.96	3.866	2.081	16.91
2	3	9	16	9.115	4.24	1.74	15.09
7	5	7	24	27.46	8.528	4.822	40.81
7	3	9	32	27.78	9.746	4.812	42.33
7	2	3	24	5.734	1.184	0.7805	7.699
5	2	9	16	11.48	4.812	2.031	18.32
2	3	9	64	15.77	7.463	2.914	26.15
7	3	9	64	41.14	14.21	6.764	62.11
5	3	9	64	30.4	12.32	5.487	48.21
5	5	3	16	7.51	2.11	1.274	10.9
5	5	9	16	25.67	9.28	4.729	39.68
7	7	5	32	29.61	8.263	5.058	42.93
2	2	3	64	3.194	1.021	0.5457	4.761
7	7	5	16	20.54	6.13	3.681	30.35
7	3	9	24	24.14	8.248	4.179	36.57
2	3	3	24	2.707	0.7374	0.4699	3.914
3	3	3	64	6.196	1.716	1.053	8.965
5	5	5	24	13.6	4.368	2.391	20.36
3	2	9	64	14.97	7.973	2.769	25.71
2	2	3	24	1.897	0.5258	0.3193	2.743
5	2	7	64	15.68	6.028	2.758	24.47
2	7	3	64	10.21	2.968	1.816	14.99
7	7	3	32	19.01	5.415	3.297	27.72
3	5	9	24	20.89	8.871	3.895	33.66
5	2	5	64	10.37	3.34	1.79	15.5
5	2	3	24	3.623	0.9502	0.6128	5.186
2	3	5	16	4.061	1.341	0.7073	6.109
2	5	7	64	17.54	7.401	3.196	28.13
5	3	3	24	5.415	1.421	0.9088	7.745
7	5	9	16	34.17	11.42	6.084	51.66
5	3	9	24	18.66	6.965	3.301	28.92
